entity_id,paragraph_ID,sentence_ID,start_token,end_token,text,time_kind,precision,annee,mois,jour,heure,minute,datetime_auto,time_code_auto,jour_romanesque,debut_auto,fin_auto,duration_value,duration_unit,duration_relation,regle
108,283,568,11585,11588,8 heures 45 soir,heure,heure,1872.0,10.0,2.0,20.0,45.0,1872-10-02 20:45,1872-10-02-20-45,1.0,,,,,,heure_seule
109,284,569,11595,11597,jeudi 3 octobre,date_absolue,jour,1872.0,10.0,3.0,,,1872-10-03,1872-10-03-00-00,2.0,,,,,,date_complete
110,284,569,11599,11602,7 heures 20 matin,heure,heure,1872.0,10.0,3.0,7.0,20.0,1872-10-03 07:20,1872-10-03-07-20,2.0,,,,,,heure_seule
111,285,570,11608,11608,jeudi,relatif,datetime,1872.0,10.0,3.0,7.0,20.0,1872-10-03 07:20,1872-10-03-07-20,2.0,,,,,,jour_semaine_proche
112,285,570,11610,11613,8 heures 40 matin,heure,heure,1872.0,10.0,3.0,8.0,40.0,1872-10-03 08:40,1872-10-03-08-40,2.0,,,,,,heure_seule
113,286,571,11623,11625,vendredi 4 octobre,date_absolue,jour,1872.0,10.0,4.0,,,1872-10-04,1872-10-04-00-00,3.0,,,,,,date_complete
114,286,571,11627,11630,6 heures 35 matin,heure,heure,1872.0,10.0,4.0,6.0,35.0,1872-10-04 06:35,1872-10-04-06-35,3.0,,,,,,heure_seule
115,287,572,11636,11636,vendredi,relatif,datetime,1872.0,10.0,4.0,6.0,35.0,1872-10-04 06:35,1872-10-04-06-35,3.0,,,,,,jour_semaine_proche
116,287,572,11638,11641,7 heures 20 matin,heure,heure,1872.0,10.0,4.0,7.0,20.0,1872-10-04 07:20,1872-10-04-07-20,3.0,,,,,,heure_seule
117,288,573,11648,11650,samedi 5 octobre,date_absolue,jour,1872.0,10.0,5.0,,,1872-10-05,1872-10-05-00-00,4.0,,,,,,date_complete
118,288,573,11652,11654,4 heures soir,heure,heure,1872.0,10.0,5.0,16.0,0.0,1872-10-05 16:00,1872-10-05-16-00,4.0,,,,,,heure_seule
119,289,574,11662,11662,samedi,relatif,datetime,1872.0,10.0,5.0,16.0,0.0,1872-10-05 16:00,1872-10-05-16-00,4.0,,,,,,jour_semaine_proche
120,289,574,11664,11666,5 heures soir,heure,heure,1872.0,10.0,5.0,17.0,0.0,1872-10-05 17:00,1872-10-05-17-00,4.0,,,,,,heure_seule
121,290,575,11673,11675,mercredi 9 octobre,date_absolue,jour,1872.0,10.0,9.0,,,1872-10-09,1872-10-09-00-00,8.0,,,,,,date_complete
122,290,575,11677,11679,11 heures matin,heure,heure,1872.0,10.0,9.0,11.0,0.0,1872-10-09 11:00,1872-10-09-11-00,8.0,,,,,,heure_seule
123,291,576,11683,11685,des heures dépensées,duree,quantite,,,,,,,,,,,,,,duree_quantite
124,291,576,11694,11696,6 jours 1/2,duree,quantite,,,,,,,,,,,6.0,jour,duree_simple,duree_quantite
