triplet_id,chapter,Num_paragr,Num_phrase,Sentence_index,Phrase,Sujet,Verbe,Objet,Lemme_verbe,personnages_triptyque,lieux_triptyque,types_lieux_triptyque,time_texte_phrase,time_code_phrase,date_jour_phrase,jour_romanesque_phrase,time_texte_precedent,time_code_precedent,date_jour_precedent,jour_romanesque_precedent,time_texte_auto,time_code_auto,date_jour_auto,jour_romanesque_auto,source_temps_auto,lieux_labels,a_personnage,a_lieu,deplacement
12,1,1,1,2,"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",,succédait,ce Phileas Fogg personnage énigmatique sinon que c'était un fort galant homme et l'un des plus beaux gentlemen de la haute société anglaise,succéder,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
13,1,1,1,2,"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",on,savait,rien,savoir,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
14,1,2,2,3,"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",On,disait,,dire,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
15,1,2,2,3,"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,à Byron,ressembler,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
16,1,2,2,3,"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,Byron-par,ressembler,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
17,1,2,2,3,"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,Byron-par la tête,ressembler,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
18,1,2,2,3,"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,quant aux pieds,ressembler,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
19,1,2,2,3,"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,"pieds-,",ressembler,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
20,1,2,2,3,"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",qui,vécu,mille ans,vivre,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
21,1,2,2,3,"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",qui,vieillir,,vieillir,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
