cle_triptyque_temps,chapter,Num_paragr,Num_phrase,Phrase,Sujet,Verbe,Objet,time_texte_coref,time_code_coref,time_debut_coref,time_fin_coref,time_source_coref,time_ud_governor_coref,time_texte_auto,time_code_auto,time_debut_auto,time_fin_auto,time_source_auto,time_ud_governor_auto,temps_coref,temps_auto,statut_temps
1483 || 1485 || 1478,1,13,46,"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,devait,À onze heures et demie,à onze heures et demie sonnant,1872-10-02-11-00,,,objet,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,objet,devait,1872-10-02-11,1872-10-02-11-30,temps_different
1483 || 1485 || 1490,1,13,46,"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,devait,sa quotidienne habitude,à onze heures et demie sonnant,1872-10-02-11-00,,,ud_direct,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,ud_direct,devait,1872-10-02-11,1872-10-02-11-30,temps_different
_ || 1487 || _,1,13,46,"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",,suivant,,à onze heures et demie sonnant,1872-10-02-11-00,,,ud_scope_anchor,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,ud_scope_anchor,devait,1872-10-02-11,1872-10-02-11-30,temps_different
1483 || 1492 || 1494,1,13,46,"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,quitter,la maison,à onze heures et demie sonnant,1872-10-02-11-00,,,ud_scope_anchor,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,ud_scope_anchor,devait,1872-10-02-11,1872-10-02-11-30,temps_different
1483 || 1497 || 1496,1,13,46,"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,rendre,se,à onze heures et demie sonnant,1872-10-02-11-00,,,ud_scope_anchor,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,ud_scope_anchor,devait,1872-10-02-11,1872-10-02-11-30,temps_different
1483 || 1497 || 1499,1,13,46,"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,rendre,au Reform-Club,à onze heures et demie sonnant,1872-10-02-11-00,,,ud_scope_anchor,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,ud_scope_anchor,devait,1872-10-02-11,1872-10-02-11-30,temps_different
1483 || 1497 || 1500,1,13,46,"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,rendre,Reform-Club,à onze heures et demie sonnant,1872-10-02-11-00,,,ud_scope_anchor,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,ud_scope_anchor,devait,1872-10-02-11,1872-10-02-11-30,temps_different
1483 || 1497 || 1501,1,13,46,"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,rendre,Reform-Club,à onze heures et demie sonnant,1872-10-02-11-00,,,ud_scope_anchor,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,ud_scope_anchor,devait,1872-10-02-11,1872-10-02-11-30,temps_different
1507 || 1508 || 1505,1,14,47,"En ce moment, on frappa à la porte du petit salon Dans lequel se tenait Phileas Fogg.",on,frappa,En ce moment,en ce moment,1872-10-02-11-00,,,objet,frappa,en ce moment,1872-10-02-11-30,,,objet,frappa,1872-10-02-11,1872-10-02-11-30,temps_different
1507 || 1508 || 1511,1,14,47,"En ce moment, on frappa à la porte du petit salon Dans lequel se tenait Phileas Fogg.",on,frappa,à la porte du petit salon,en ce moment,1872-10-02-11-00,,,ud_direct,frappa,en ce moment,1872-10-02-11-30,,,ud_direct,frappa,1872-10-02-11,1872-10-02-11-30,temps_different
1519 || 1518 || 1516,1,14,47,"En ce moment, on frappa à la porte du petit salon Dans lequel se tenait Phileas Fogg.",Phileas Fogg,tenait,Dans lequel,à onze heures et demie sonnant,1872-10-02-11-00,,,precedent_context,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,precedent_context,devait,1872-10-02-11,1872-10-02-11-30,temps_different
1519 || 1518 || 1517,1,14,47,"En ce moment, on frappa à la porte du petit salon Dans lequel se tenait Phileas Fogg.",Phileas Fogg,tenait,se,à onze heures et demie sonnant,1872-10-02-11-00,,,precedent_context,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,precedent_context,devait,1872-10-02-11,1872-10-02-11-30,temps_different
1522 || 1528 || _,1,15,48,"James Forster, le congédié, apparut.",James Forster le congédié,apparut,,à onze heures et demie sonnant,1872-10-02-11-00,,,precedent_context,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,precedent_context,devait,1872-10-02-11,1872-10-02-11-30,temps_different
1537 || 1536 || _,1,16,49,"«Le nouveau domestique», dit -il.",-il,dit,,à onze heures et demie sonnant,1872-10-02-11-00,,,precedent_context,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,precedent_context,devait,1872-10-02-11,1872-10-02-11-30,temps_different
