chapter,Phrase,Sujet,Verbe,Objet,time_code,macro_categorie_dynamouv,categorie_base_dynamouv,aspect_lexical_dynamouv,maniere_dynamouv
,La jeune femme était retombée dans cette torpeur provoquée par les fumées du chanvre.,La jeune femme,retombée,dans cette torpeur,1872-10-23-15-00,Dynamicité spatiale sans dpt,Ch. de disposition,télique,
,"Elle passa à travers les fakirs, qui l' escortaient de leurs vociférations religieuses.",Elle,passa,à travers les fakirs,1872-10-23-15-00,Dpt au sens large,Dpt au sens strict,télique,
,"Phileas Fogg et ses compagnons, se mêlant aux derniers rangs de la foule, la suivirent.",Phileas Fogg et ses compagnons,suivirent,la,1872-10-23-15-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Deux minutes après, ils arrivaient sur le bord de la rivière et s' arrêtaient à moins de cinquante pas du bûcher, sur lequel était couché le corps du rajah.",ils,arrivaient,sur le bord de la rivière,1872-10-23-15-00,Dpt au sens large,Dpt au sens strict,télique,
,"La victime inanimée passa entre les bras vigoureux qui la portaient, et sans qu' elle parût leur peser.",La victime inanimée,passa,entre les bras vigoureux,1872-10-23-15-00,Dpt au sens large,Dpt au sens strict,télique,
,"Ce ressuscité arriva ainsi près de l' endroit où se tenaient Mr. Fogg et Sir Francis Cromarty, et là, d' une voix brève:",Ce ressuscité,arriva,près de l'endroit,1872-10-23-15-00,Dpt au sens large,Dpt au sens strict,télique,
,"C' était Passepartout qui, jouant son rôle avec un audacieux bonheur, passait au milieu de l' épouvante générale!",qui,passait,au milieu de l'épouvante générale,1872-10-23-15-00,Dpt au sens large,Dpt au sens strict,télique,
,"Un instant après, tous quatre disparaissaient dans le bois, et l' éléphant les emportait d' un trot rapide.",tous quatre,disparaissaient,dans le bois,1872-10-23-15-00,Dpt au sens large,Dpt au sens strict,télique,
,"Mais des cris, des clameurs et même une balle, perçant le chapeau de Phileas Fogg, leur apprirent que la ruse était découverte.",,perçant,le chapeau de Phileas Fogg,1872-10-23-15-00,Dpt au sens large,Dpt au sens strict,télique,
,"Les prêtres, revenus de leur frayeur, avaient compris qu' un enlèvement venait de s' accomplir.",,revenus,de leur frayeur,1872-10-23-15-00,Dpt au sens large,Dpt au sens strict,télique,
,Les gardes les avaient suivis.,Les gardes,suivis,les,1872-10-23-15-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Une décharge avait eu lieu, mais les ravisseurs fuyaient rapidement, et, en quelques instants, ils se trouvaient hors de la portée des balles et des flèches.",les ravisseurs,fuyaient,,1872-10-23-15-00,Dpt au sens large,Dpt au sens strict,télique,manière
,Sir Francis Cromarty avait serré la main de l' intrépide garçon.,Sir Francis Cromarty,serré,la main de l'intrépide garçon,1872-10-23-15-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,"Il n' hésita pas à dire à Phileas Fogg que si Mrs. Aouda restait dans l' Inde, elle retomberait inévitablement entre les mains de ses bourreaux.",elle,retomberait,entre les mains de ses bourreaux,1872-10-23-07-00,Dynamicité spatiale sans dpt,Ch. de disposition,télique,
,"À son avis, la jeune femme ne serait véritablement en sûreté qu' après avoir quitté l' Inde.",la jeune femme,quitté,l'Inde,1872-10-23-07-00,Dpt au sens large,Dpt au sens strict,télique,
,"Phileas Fogg devait donc arriver à temps pour prendre un paquebot qui ne partait que le lendemain seulement, 25 octobre, à midi, pour Hong - Kong.",Phileas Fogg,arriver,à temps,1872-10-23-10-00,Dpt au sens large,Dpt au sens strict,télique,
,"Passepartout fut chargé d' aller acheter pour elle divers objets de toilette, robe, châle, fourrures, etc., ce qu' il trouverait.",Passepartout,aller,,1872-10-23-10-00,Dpt au sens large,Dpt au sens strict,télique,
,Passepartout partit aussitôt et courut les rues de la ville.,Passepartout,courut,les rues de la ville,1872-10-23-10-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"Puis, tout triomphant, il retourna à la gare.",il,retourna,à la gare,1872-10-23-10-00,Dpt au sens large,Dpt au sens strict,télique,
,Aouda commençait à revenir à elle.,Aouda,revenir,à elle,1872-10-23-10-00,Dpt au sens large,Dpt au sens strict,télique,
,"Ses sourcils d' ébène ont la forme et la puissance de l' arc de Kama, dieu d' amour, et sous ses longs cils soyeux, dans la pupille noire de ses grands yeux limpides, nagent comme dans les lacs sacrés de l' Himalaya les reflets les plus purs de la lumière céleste.",Ses sourcils d'ébène,nagent,sous ses longs cils soyeux,1872-10-23-10-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"Ses sourcils d' ébène ont la forme et la puissance de l' arc de Kama, dieu d' amour, et sous ses longs cils soyeux, dans la pupille noire de ses grands yeux limpides, nagent comme dans les lacs sacrés de l' Himalaya les reflets les plus purs de la lumière céleste.",Ses sourcils d'ébène,nagent,dans la pupille noire de ses grands yeux limpides,1872-10-23-10-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"Ses sourcils d' ébène ont la forme et la puissance de l' arc de Kama, dieu d' amour, et sous ses longs cils soyeux, dans la pupille noire de ses grands yeux limpides, nagent comme dans les lacs sacrés de l' Himalaya les reflets les plus purs de la lumière céleste.",Ses sourcils d'ébène,nagent,comme dans les lacs sacrés de l'Himalaya,1872-10-23-10-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"Mr. Fogg lui régla son salaire au prix convenu, sans le dépasser d' un farthing.",Mr. Fogg,dépasser,le,1872-10-23-10-00,Dpt au sens large,Dpt au sens strict,télique,
,"Mr. Fogg lui régla son salaire au prix convenu, sans le dépasser d' un farthing.",Mr. Fogg,dépasser,d'un farthing,1872-10-23-10-00,Dpt au sens large,Dpt au sens strict,télique,
,"Le Parsi avait, en effet, risqué volontairement sa vie dans l' affaire de Pillaji, et si, plus tard, les Indous l' apprenaient, il échapperait difficilement à leur vengeance.",il,échapperait,à leur vengeance,1872-10-23-10-00,Dpt au sens large,Dpt au sens strict,télique,manière
,"Et, allant à la bête, il lui présenta quelques morceaux de sucre, disant:",il,allant,à la bête,1872-10-23-10-00,Dpt au sens large,Dpt au sens strict,télique,
,"Pendant ce trajet, la jeune femme revint complètement à elle; les vapeurs assoupissantes du hang se dissipèrent.",la jeune femme,revint,Pendant ce trajet,1872-10-25-02-00,Dpt au sens large,Dpt au sens strict,télique,
,"Pendant ce trajet, la jeune femme revint complètement à elle; les vapeurs assoupissantes du hang se dissipèrent.",la jeune femme,revint,à elle,1872-10-25-02-00,Dpt au sens large,Dpt au sens strict,télique,
,Phileas Fogg comprit ce qui se passait dans l' esprit de Mrs.,qui,passait,dans l'esprit de Mrs,1872-10-25-02-00,Dpt au sens large,Dpt au sens strict,télique,
,Les troupes qu' il rejoignait campaient à quelques milles au nord de la ville.,il,rejoignait,qu',1872-10-25-12-00,Dpt au sens large,Dpt au sens strict,télique,
,"Quelques éléphants, des zébus à grosse bosse venaient se baigner dans les eaux du fleuve sacré, et aussi, malgré la saison avancée et la température déjà froide, des bandes d' Indous des deux sexes, qui accomplissaient pieusement leurs saintes ablutions. Ces fidèles, ennemis acharnés du bouddhisme, sont sectateurs fervents de la religion brahmanique, qui s' incarne en ces trois personnes: Whisnou, la divinité solaire, Shiva, la personnification divine des forces naturelles, et Brahma, le maître suprême des prêtres et des législateurs.",Quelques éléphants des zébus à grosse bosse,venaient,Ces fidèles ennemis acharnés du bouddhisme sont sectateurs fervents de la religion brahmanique,,Dpt au sens large,Dpt au sens strict,télique,
,"Puis la nuitvintet, au milieu des hurlements des tigres, des ours,des loups qui fuyaient devant la locomotive, le train passa à toute vitesse, et on n' aperçut plus rien des merveilles du Bengale, ni Golgonde, ni Gour en ruine, ni Mourshedabad, qui fut autrefois capitale, ni Burdwan, ni Hougly, ni Chandernagor, ce point français du territoire indien sur lequel Passepartout eût été fier de voir flotter le drapeau de sa patrie!",,flotter,le drapeau de sa patrie,1872-10-25-12-00,Dynamicité spatiale sans dpt,Ch. de disposition,atélique,manière
,"D' après son itinéraire, ce gentleman devait arriver dans la capitale des Indes le 25 octobre, vingt-trois jours après avoir quitté Londres, et il y arrivait au jour fixé. Il n' avait donc ni retard ni avance.",ce gentleman,arriver,dans la capitale des Indes,1872-10-25-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"D' après son itinéraire, ce gentleman devait arriver dans la capitale des Indes le 25 octobre, vingt-trois jours après avoir quitté Londres, et il y arrivait au jour fixé. Il n' avait donc ni retard ni avance.",ce gentleman,arriver,le 25 octobre,1872-10-25-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"D' après son itinéraire, ce gentleman devait arriver dans la capitale des Indes le 25 octobre, vingt-trois jours après avoir quitté Londres, et il y arrivait au jour fixé. Il n' avait donc ni retard ni avance.",ce gentleman,arriver,vingt-trois jours,1872-11-17-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"D' après son itinéraire, ce gentleman devait arriver dans la capitale des Indes le 25 octobre, vingt-trois jours après avoir quitté Londres, et il y arrivait au jour fixé. Il n' avait donc ni retard ni avance.",il,arrivait,y,1872-11-17-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"D' après son itinéraire, ce gentleman devait arriver dans la capitale des Indes le 25 octobre, vingt-trois jours après avoir quitté Londres, et il y arrivait au jour fixé. Il n' avait donc ni retard ni avance.",il,arrivait,au jour,1872-11-17-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Malheureusement, les deux jours gagnés par lui entre Londres et Bombay avaient été perdus, on sait comment, dans cette traversée de la péninsule indienne,- mais il est à supposer que Phileas Fogg ne les regrettait pas.",,gagnés,par lui,,Dpt au sens large,Dpt au sens strict,télique,
,"Passepartout descendit le premier du wagon, et fut suivi de Mr. Fogg, qui aida sa jeune compagne à mettre pied sur le quai.",Passepartout,descendit,le premier du wagon,1872-11-17-00-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Passepartout descendit le premier du wagon, et fut suivi de Mr. Fogg, qui aida sa jeune compagne à mettre pied sur le quai.",Passepartout,suivi,de Mr. Fogg,1872-11-17-00-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Aouda, qu' il ne voulait pas quitter, tant qu' elle serait en ce pays si dangereux pour elle.",il,quitter,,1872-11-17-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Au moment où Mr. Fogg allait sortir de la gare, un policeman s' approcha de lui et dit:",Mr. Fogg,allait,où,1872-11-17-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Au moment où Mr. Fogg allait sortir de la gare, un policeman s' approcha de lui et dit:",Mr. Fogg,sortir,de la gare,1872-11-17-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Au moment où Mr. Fogg allait sortir de la gare, un policeman s' approcha de lui et dit:",un policeman,approcha,Au moment,1872-11-17-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Au moment où Mr. Fogg allait sortir de la gare, un policeman s' approcha de lui et dit:",un policeman,approcha,s',1872-11-17-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Au moment où Mr. Fogg allait sortir de la gare, un policeman s' approcha de lui et dit:",un policeman,approcha,de lui,1872-11-17-00-00,Dpt au sens large,Dpt au sens strict,télique,
,- Veuillez me suivre tous les deux.,,suivre,me,1872-11-17-00-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Passepartout, avec ses habitudes françaises, voulut raisonner, mais le policeman le toucha de sa baguette, et Phileas Fogg lui fit signe d' obéir.",le policeman,toucha,le,1872-11-17-00-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,"Passepartout, avec ses habitudes françaises, voulut raisonner, mais le policeman le toucha de sa baguette, et Phileas Fogg lui fit signe d' obéir.",le policeman,toucha,de sa baguette,1872-11-17-00-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,"Le policeman fit descendre ses prisonniers- on pouvait vraiment leur donner ce nom-, et il les conduisit dans une chambre aux fenêtres grillées, en leur disant:",Le policeman,descendre,ses prisonniers,1872-11-17-00-00,Dpt au sens large,Dpt au sens faible,atélique,
,"«Monsieur, il faut m' abandonner!",,abandonner,m',1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,C' est pour moi que vous êtes poursuivi!,C'est pour moi,poursuivi,que,1872-11-17-08-30,Dpt au sens large,Dpt au sens faible,atélique,
,"Mr. Fogg ajouta que, dans tous les cas, il n' abandonnerait pas la jeune femme, et qu' il la conduirait à Hong - Kong.",il,abandonnerait,dans tous les cas,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,"Mr. Fogg ajouta que, dans tous les cas, il n' abandonnerait pas la jeune femme, et qu' il la conduirait à Hong - Kong.",il,abandonnerait,la jeune femme,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,"Le policeman reparut, et il introduisit les prisonniers dans la salle voisine.",Le policeman,reparut,,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,"Ce magistrat, le juge Obadiah, entra presque aussitôt, suivi du greffier.",Ce magistrat le juge Obadiah,entra,,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,"Ce magistrat, le juge Obadiah, entra presque aussitôt, suivi du greffier.",Ce magistrat le juge Obadiah,suivi,du greffier,1872-11-17-08-30,Dpt au sens large,Dpt au sens faible,atélique,
,Il décrocha une perruque pendue à un clou et s' en coiffa lestement.,Il,décrocha,une perruque,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,"Pendant ces préliminaires, Passepartout bouillait d' impatience, car l' aiguille lui paraissait marcher terriblement vite sur le cadran de la grosse horloge du prétoire.",l'aiguille,paraissait,lui,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,"- Vous allez le savoir, répondit le juge.",Vous,allez,,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,- Bien! faites entrer les plaignants.,,entrer,les plaignants,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,"«C' est bien cela! murmura Passepartout, ce sont ces coquins qui voulaient brûler notre jeune dame!",qui,brûler,notre jeune dame,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,manière
,"«Sans doute! s' écria impétueusement Passepartout, à cette pagode de Pillaji, devant laquelle ils allaient brûler leur victime!",ils,allaient,devant laquelle,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,"«Sans doute! s' écria impétueusement Passepartout, à cette pagode de Pillaji, devant laquelle ils allaient brûler leur victime!",ils,brûler,leur victime,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,manière
,"Mais, par suite du temps employé à la délivrance de la jeune veuve, Fix et les Indous arrivèrent à Calcutta avant Phileas Fogg et son domestique, que les magistrats, prévenus par dépêche, devaient arrêter à leur descente du train.",Fix et les Indous,arrivèrent,par suite du temps,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,"Mais, par suite du temps employé à la délivrance de la jeune veuve, Fix et les Indous arrivèrent à Calcutta avant Phileas Fogg et son domestique, que les magistrats, prévenus par dépêche, devaient arrêter à leur descente du train.",Fix et les Indous,arrivèrent,à Calcutta,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,"Mais, par suite du temps employé à la délivrance de la jeune veuve, Fix et les Indous arrivèrent à Calcutta avant Phileas Fogg et son domestique, que les magistrats, prévenus par dépêche, devaient arrêter à leur descente du train.",Fix et les Indous,arrivèrent,avant Phileas Fogg et son domestique,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,"Que l' on juge du désappointement de Fix, quand il apprit que Phileas Fogg n' était point encore arrivé dans la capitale de l' Inde.",Phileas Fogg,arrivé,dans la capitale de l'Inde,1872-11-17-08-30,Dpt au sens large,Dpt au sens strict,télique,
,"Quelle fut donc sa joie quand, ce matin même, il le vit descendre du wagon, en compagnie, il est vrai, d' une jeune femme dont il ne pouvait s' expliquer la présence.",il,descendre,du wagon,1872-11-17-08-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Quelle fut donc sa joie quand, ce matin même, il le vit descendre du wagon, en compagnie, il est vrai, d' une jeune femme dont il ne pouvait s' expliquer la présence.",il,descendre,en compagnie,1872-11-17-08-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Et si Passepartout eût été moins préoccupé de son affaire, il aurait aperçu, dans un coin du prétoire, le détective, qui suivait le débat avec un intérêt facile à comprendre,- car à Calcutta, comme à Bombay, comme à Suez, le mandat d' arrestation lui manquait encore!",qui,suivait,le débat,1872-11-17-08-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Et si Passepartout eût été moins préoccupé de son affaire, il aurait aperçu, dans un coin du prétoire, le détective, qui suivait le débat avec un intérêt facile à comprendre,- car à Calcutta, comme à Bombay, comme à Suez, le mandat d' arrestation lui manquait encore!",qui,suivait,avec un intérêt facile,1872-11-17-08-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Cependant le juge Obadiah avait pris acte de l' aveu échappé à Passepartout, qui aurait donné tout ce qu' il possédait pour reprendre ses imprudentes paroles.",,échappé,à Passepartout,1872-11-17-08-00,Dpt au sens large,Dpt au sens strict,télique,manière
,"Phileas Fogg retenu huit jours à Calcutta, c' était plus qu' il n' en fallait pour donner au mandat le temps de lui arriver.",,arriver,lui,1872-11-17-08-00,Dpt au sens large,Dpt au sens strict,télique,
,"Un pari de vingt mille livres perdu, et tout cela parce que, en vrai badaud, il était entré dans cette maudite pagode!",il,entré,en vrai badaud,1872-11-17-08-00,Dpt au sens large,Dpt au sens strict,télique,
,"Un pari de vingt mille livres perdu, et tout cela parce que, en vrai badaud, il était entré dans cette maudite pagode!",il,entré,dans cette maudite pagode,1872-11-17-08-00,Dpt au sens large,Dpt au sens strict,télique,
,"Passepartout, absolument piteux, suivit Mr. Fogg, qui avait offert son bras à la jeune femme.",Passepartout absolument piteux,suivit,Mr. Fogg,1872-11-17-08-00,Dpt au sens large,Dpt au sens faible,atélique,
,Fix espérait encore que son voleur ne se déciderait jamais à abandonner cette somme de deux mille livres et qu' il ferait ses huit jours de prison.,son voleur,abandonner,cette somme de deux mille livres,1872-11-17-08-00,Dpt au sens large,Dpt au sens strict,télique,
,Il se jeta donc sur les traces de Fogg.,Il,jeta,se,1872-11-17-08-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,Il se jeta donc sur les traces de Fogg.,Il,jeta,sur les traces de Fogg,1872-11-17-08-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"Aouda, Passepartout et lui montèrent aussitôt.",,montèrent,lui,1872-11-17-08-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Fix courut derrière la voiture, qui s' arrêta bientôt sur l' un des quais de la ville.",Fix,courut,derrière la voiture,1872-11-17-08-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,Fix le vit descendre de voiture et s' embarquer dans un canot avec Mrs.,Fix,descendre,de voiture,1872-10-20-01-00,Dpt au sens large,Dpt au sens faible,atélique,
,Fix le vit descendre de voiture et s' embarquer dans un canot avec Mrs.,Fix,embarquer,s',1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,Fix le vit descendre de voiture et s' embarquer dans un canot avec Mrs.,Fix,embarquer,dans un canot,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,Fix le vit descendre de voiture et s' embarquer dans un canot avec Mrs.,Fix,embarquer,avec Mrs,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,Le détective frappa la terre du pied.,Le détective,frappa,la terre du pied,1872-10-20-01-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,manière
,"Ah! je le filerai jusqu' au bout du monde s' il le faut; mais du train dont il va, tout l' argent du vol y aura passé!",il,va,,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,"En effet, depuis qu' il avait quitté Londres, tant en frais de voyage qu' en primes, en achat d' éléphant, en cautions et en amendes, Phileas Fogg avait déjà semé plus de cinq mille livres( 125 000 F) sur sa route, et le tant pour cent de la somme recouvrée, attribué aux détectives, allait diminuant toujours.",il,quitté,En effet,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,"En effet, depuis qu' il avait quitté Londres, tant en frais de voyage qu' en primes, en achat d' éléphant, en cautions et en amendes, Phileas Fogg avait déjà semé plus de cinq mille livres( 125 000 F) sur sa route, et le tant pour cent de la somme recouvrée, attribué aux détectives, allait diminuant toujours.",il,quitté,Londres,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,"En effet, depuis qu' il avait quitté Londres, tant en frais de voyage qu' en primes, en achat d' éléphant, en cautions et en amendes, Phileas Fogg avait déjà semé plus de cinq mille livres( 125 000 F) sur sa route, et le tant pour cent de la somme recouvrée, attribué aux détectives, allait diminuant toujours.",il,quitté,tant en frais de voyage qu'en primes en achat d'éléphant en cautions et en amendes,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,"À de certaines heures il venait régulièrement, sinon causer, du moins l' écouter.",il,venait,À de certaines heures,,Dpt au sens large,Dpt au sens strict,télique,
,"C' était même un cousin de Sir Jejeebhoy, l' honorable Jejeeh, qu' elle comptait rejoindre à Hong - Kong.",elle,rejoindre,à Hong-Kong,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,"C' était même un cousin de Sir Jejeebhoy, l' honorable Jejeeh, qu' elle comptait rejoindre à Hong - Kong.",elle,rejoindre,Hong-Kong,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,"C' était même un cousin de Sir Jejeebhoy, l' honorable Jejeeh, qu' elle comptait rejoindre à Hong - Kong.",elle,rejoindre,Hong-Kong,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,"Mais l' intraitable Fogg, aussi boutonné que jamais, ne semblait point homme à se jeter dans ce lac.",l'intraitable Fogg,jeter,se,1872-10-20-01-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"Mais l' intraitable Fogg, aussi boutonné que jamais, ne semblait point homme à se jeter dans ce lac.",l'intraitable Fogg,jeter,dans ce lac,1872-10-20-01-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"Au départ de Calcutta, après avoir laissé des instructions pour que le mandat, s' il arrivait enfin, lui fût adressé à Hong - Kong, il avait pu s' embarquer à bord du Rangoon sans avoir été aperçu de Passepartout, et il espérait bien dissimuler sa présence jusqu' à l' arrivée du paquebot.",il,embarquer,s',1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,"Au départ de Calcutta, après avoir laissé des instructions pour que le mandat, s' il arrivait enfin, lui fût adressé à Hong - Kong, il avait pu s' embarquer à bord du Rangoon sans avoir été aperçu de Passepartout, et il espérait bien dissimuler sa présence jusqu' à l' arrivée du paquebot.",il,embarquer,à bord du Rangoon,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,"C' était donc à Hong - Kong que l' arrestation du voleur devait se faire, ou le voleur lui échappait, pour ainsi dire, sans retour.",le voleur,échappait,lui,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,manière
,"C' était donc à Hong - Kong que l' arrestation du voleur devait se faire, ou le voleur lui échappait, pour ainsi dire, sans retour.",le voleur,échappait,pour ainsi sans retour,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,manière
,"À Hong - Kong, s' il y trouvait enfin le mandat d' arrestation qui courait évidemment après lui, Fix arrêtait Fogg et le remettait entre les mains de la police locale.",qui,courait,après lui,1872-10-20-01-00,Dpt au sens large,Dpt au sens faible,atélique,manière
,"De là retards, lenteurs, obstacles de toute nature, dont le coquin profiterait pour échapper définitivement.",le coquin,échapper,,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,manière
,"«Donc, se répétait Fix pendant ces longues heures qu' il passait dans sa cabine, donc, ou le mandat sera à Hong - Kong, et j' arrête mon homme, ou il n' y sera pas, et cette fois il faut à tout prix que je retarde son départ!",il,passait,qu',1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,"«Donc, se répétait Fix pendant ces longues heures qu' il passait dans sa cabine, donc, ou le mandat sera à Hong - Kong, et j' arrête mon homme, ou il n' y sera pas, et cette fois il faut à tout prix que je retarde son départ!",il,passait,dans sa cabine,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,"J' ai échoué à Bombay, j' ai échoué à Calcutta!",J',échoué,à Bombay,1872-10-20-01-00,Dynamicité spatiale sans dpt,Ch. de disposition,télique,manière
,"J' ai échoué à Bombay, j' ai échoué à Calcutta!",j',échoué,à Calcutta,1872-10-20-01-00,Dynamicité spatiale sans dpt,Ch. de disposition,télique,manière
,"Ce voyage à travers l' Inde, au contraire, n' avait -il pas été entrepris par ce gentleman dans le but de rejoindre cette charmante personne? car elle était charmante!",,rejoindre,cette charmante personne,1872-10-20-01-00,Dpt au sens large,Dpt au sens strict,télique,
,"Cette idée s' incrusta dans le cerveau de Fix, et il reconnut tout le parti qu' il pouvait tirer de cette circonstance.",il,reconnut,tout le parti,1872-10-20-01-00,Dynamicité spatiale sans dpt,Ch. de disposition,atélique,
,"Donc, ce jour -là, Fix, sortant de sa cabine, monta sur le pont, dans l' intention d' aborder Passepartout« le premier» avec les marques de la plus extrême surprise.",Fix,sortant,ce jour,1872-10-31-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Donc, ce jour -là, Fix, sortant de sa cabine, monta sur le pont, dans l' intention d' aborder Passepartout« le premier» avec les marques de la plus extrême surprise.",Fix,sortant,-là,1872-10-31-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Donc, ce jour -là, Fix, sortant de sa cabine, monta sur le pont, dans l' intention d' aborder Passepartout« le premier» avec les marques de la plus extrême surprise.",Fix,sortant,de sa cabine,1872-10-31-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Donc, ce jour -là, Fix, sortant de sa cabine, monta sur le pont, dans l' intention d' aborder Passepartout« le premier» avec les marques de la plus extrême surprise.",,aborder,Passepartout,1872-10-31-00-00,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,"- Monsieur Fix à bord! répondit Passepartout, absolument surpris, en reconnaissant son compagnon de traversée du Mongolia.",Passepartout,reconnaissant,son compagnon de traversée du Mongolia,1872-10-31-00-00,Dynamicité spatiale sans dpt,Ch. de disposition,atélique,
,"- Ah! dit Passepartout, qui parut un instant étonné.",qui,parut,,1872-10-31-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Fix, qui connaissait la dernière partie de ces incidents, semblait les ignorer tous, et Passepartout se laissait aller au charme de narrer ses aventures devant un auditeur qui lui marquait tant d' intérêt.",Passepartout,aller,au charme,1872-10-31-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Nous allons tout simplement la remettre aux soins de l' un de ses parents, riche négociant de Hong - Kong.",Nous,allons,,1872-10-31-00-00,Dpt au sens large,Dpt au sens strict,télique,
,"Depuis ce jour, Passepartout et le détective se rencontrèrent fréquemment, mais l' agent se tint dans une extrême réserve vis-à-vis de son compagnon, et il n' essaya point de le faire parler.",Passepartout et le détective,rencontrèrent,Depuis ce jour,1872-10-31-00-00,Mouvement inféré,,télique,
,"Depuis ce jour, Passepartout et le détective se rencontrèrent fréquemment, mais l' agent se tint dans une extrême réserve vis-à-vis de son compagnon, et il n' essaya point de le faire parler.",Passepartout et le détective,rencontrèrent,se,1872-10-31-00-00,Mouvement inféré,,télique,
,"Aouda, soit qu' il jouât au whist, suivant son invariable habitude.",il,suivant,son invariable habitude,1872-10-31-00-00,Dpt au sens large,Dpt au sens faible,atélique,
,"Ce gentleman, très aimable, très complaisant à coup sûr, que l' on rencontre d' abord à Suez, qui s' embarque sur le Mongolia, qui débarque à Bombay, où il dit devoir séjourner, que l' on retrouve sur le Rangoon, faisant route pour Hong - Kong, en un mot, suivant pas à pas l' itinéraire de Mr. Fogg, cela valait la peine qu' on y réfléchît.",qui,embarque,s',1872-10-31-00-00,Dpt au sens large,Dpt au sens strict,télique,
