groupe,entity_id,paragraph_ID,sentence_ID,start_token,end_token,text,time_kind,precision,annee,mois,jour,heure,minute,datetime_auto,time_code_auto,jour_romanesque,debut_auto,fin_auto,duration_value,duration_unit,duration_relation,regle
heure,26,39,125,3233,3239,de onze heures et demie du matin,heure,heure,1872.0,10.0,2.0,11.0,30.0,1872-10-02 11:30,1872-10-02-11-30,1.0,,,,,,heure_seule
heure,27,39,125,3241,3241,minuit,heure,heure,1872.0,10.0,2.0,0.0,0.0,1872-10-02 00:00,1872-10-02-00-00,1.0,,,,,,heure_seule
heure,28,44,141,3552,3556,à onze heures et demie,heure,heure,1872.0,10.0,2.0,11.0,30.0,1872-10-02 11:30,1872-10-02-11-30,1.0,,,,,,heure_seule
heure,29,46,145,3734,3738,à midi quarante - sept,heure,heure,1872.0,10.0,2.0,12.0,47.0,1872-10-02 12:47,1872-10-02-12-47,1.0,,,,,,heure_seule
heure,34,47,149,3845,3849,à six heures moins vingt,heure,heure,1872.0,10.0,2.0,5.0,40.0,1872-10-02 05:40,1872-10-02-05-40,1.0,,,,,,heure_seule
heure,41,62,173,4556,4558,à cinq heures,heure,heure,1872.0,9.0,29.0,5.0,0.0,1872-09-29 05:00,1872-09-29-05-00,-2.0,,,,,,heure_seule
heure,58,125,261,6054,6059,à huit heures quarante - cinq,heure,heure,1872.0,9.0,29.0,8.0,45.0,1872-09-29 08:45,1872-09-29-08-45,-2.0,,,,,,heure_seule
heure,63,127,265,6122,6129,à huit heures quarante - cinq du soir,heure,heure,1872.0,12.0,21.0,20.0,45.0,1872-12-21 20:45,1872-12-21-20-45,81.0,,,,,,heure_seule
heure,64,129,272,6274,6276,sept heures sonnaient,heure,heure,1872.0,12.0,21.0,7.0,0.0,1872-12-21 07:00,1872-12-21-07-00,81.0,,,,,,heure_seule
heure,65,132,278,6332,6335,à sept heures vingt-cinq,heure,heure,1872.0,12.0,21.0,7.0,25.0,1872-12-21 07:25,1872-12-21-07-25,81.0,,,,,,heure_seule
heure,66,132,279,6364,6367,à sept heures cinquante,heure,heure,1872.0,12.0,21.0,7.0,50.0,1872-12-21 07:50,1872-12-21-07-50,81.0,,,,,,heure_seule
heure,68,133,281,6423,6424,minuit précis,heure,heure,1872.0,12.0,21.0,0.0,0.0,1872-12-21 00:00,1872-12-21-00-00,81.0,,,,,,heure_seule
