triplet_row,triplet_id,Num_paragr,Num_phrase,chapter,verbe,lemme_verbe,est_verbe_deplacement,lieu_entity_id,lieu_texte,lieu_normalise,lieu_id_auto,niveau_lieu,lieu_cat,prep_lieu,relation_lieu,lien_triptyque_lieu,distance_verbe_lieu,head_dependency_relation,head_syntactic_head_ID
9973,9973,1486,3297,,descendre,descendre,True,2514,ces plaines sans limites,ces plaines sans limites,toponyme::ces plaines sans limites,toponyme,LOC,sur,cadre,ud_ancetre_verbe,6,obl:mod,65755
9973,9973,1486,3297,,descendre,descendre,True,2515,la nature,nature,toponyme::nature,toponyme,LOC,par,cadre,ud_ancetre_verbe,13,obl:agent,65766
9974,9974,1486,3297,,descendre,descendre,True,2513,l' atlantique,atlantique,toponyme::atlantique,toponyme,LOC,a;jusque,destination,ud_ancetre_verbe,3,obl:arg,65755
9974,9974,1486,3297,,descendre,descendre,True,2514,ces plaines sans limites,ces plaines sans limites,toponyme::ces plaines sans limites,toponyme,LOC,sur,cadre,objet,6,obl:mod,65755
9974,9974,1486,3297,,descendre,descendre,True,2515,la nature,nature,toponyme::nature,toponyme,LOC,par,cadre,ud_ancetre_verbe,13,obl:agent,65766
9975,9975,1486,3297,,nivelées,niveler,False,2515,la nature,nature,toponyme::nature,toponyme,LOC,par,cadre,objet,2,obl:agent,65766
9976,9976,1487,3298,,trouvait,trouver,False,2516,là,là,lieu_precis::la,lieu_precis,FAC,,cadre,ud_ancetre_verbe,2,advmod,65773
9976,9976,1487,3298,,trouvait,trouver,False,2517,denver - city,denver - city,toponyme::denver city,toponyme,GPE,de,source,ud_ancetre_verbe,10,nmod,65781
9976,9976,1487,3298,,trouvait,trouver,False,2518,la principale ville,principale ville,toponyme::principale ville,toponyme,GPE,,cadre,ud_ancetre_verbe,14,appos,65781
9976,9976,1487,3298,,trouvait,trouver,False,2519,du colorado,colorado,toponyme::colorado,toponyme,GPE,de,source,ud_ancetre_verbe,17,nmod,65789
9977,9977,1487,3298,,trouvait,trouver,False,2516,là,là,lieu_precis::la,lieu_precis,FAC,,cadre,ud_ancetre_verbe,2,advmod,65773
