triplet_row,triplet_id,Num_paragr,Num_phrase,chapter,verbe,lemme_verbe,est_verbe_deplacement,lieu_entity_id,lieu_texte,lieu_normalise,lieu_id_auto,niveau_lieu,lieu_cat,prep_lieu,relation_lieu,lien_triptyque_lieu,distance_verbe_lieu,head_dependency_relation,head_syntactic_head_ID
9741,9741,1436,3213,,envoyé,envoyer,False,2466,du train,train,vehicule::train,vehicule,VEH,au;de,source,objet,4,nmod,64311
9754,9754,1438,3217,,ébranlé,ébranler,False,2467,le pont de medicine - bow,pont de medicine - bow,lieu_precis::pont de medicine bow,lieu_precis,FAC,de,source,sujet,7,nsubj:pass,64376
9754,9754,1438,3217,,ébranlé,ébranler,False,2468,medicine - bow,medicine - bow,toponyme::medicine bow,toponyme,GPE,de,source,sujet,4,nmod,64370
9754,9754,1438,3217,,ébranlé,ébranler,False,2469,du train,train,vehicule::train,vehicule,VEH,de,source,ud_ancetre_verbe,7,nmod,64382
9755,9755,1438,3217,,supporterait,supporter,False,2467,le pont de medicine - bow,pont de medicine - bow,lieu_precis::pont de medicine bow,lieu_precis,FAC,de,source,sujet,10,nsubj:pass,64376
9755,9755,1438,3217,,supporterait,supporter,False,2468,medicine - bow,medicine - bow,toponyme::medicine bow,toponyme,GPE,de,source,sujet,7,nmod,64370
9755,9755,1438,3217,,supporterait,supporter,False,2469,du train,train,vehicule::train,vehicule,VEH,de,source,objet,4,nmod,64382
9757,9757,1439,3218,,jeté,jeter,True,2471,un rapide,rapide,toponyme::rapide,toponyme,LOC,sur,cadre,objet,2,obl:arg,64400
9757,9757,1439,3218,,jeté,jeter,True,2472,le convoi,convoi,vehicule::convoi,vehicule,VEH,,cadre,phrase_proche_deplacement,12,nsubj,64416
9758,9758,1439,3218,,jeté,jeter,True,2471,un rapide,rapide,toponyme::rapide,toponyme,LOC,sur,cadre,ud_ancetre_verbe,2,obl:arg,64400
9758,9758,1439,3218,,jeté,jeter,True,2472,le convoi,convoi,vehicule::convoi,vehicule,VEH,,cadre,phrase_proche_deplacement,12,nsubj,64416
9759,9759,1439,3218,,arrêté,arrêter,False,2472,le convoi,convoi,vehicule::convoi,vehicule,VEH,,cadre,sujet,4,nsubj,64416
9760,9760,1439,3218,,arrêté,arrêter,False,2472,le convoi,convoi,vehicule::convoi,vehicule,VEH,,cadre,sujet,4,nsubj,64416
9788,9788,1442,3224,,télégraphié,télégraphier,False,2473,omaha,omaha,toponyme::omaha,toponyme,GPE,de,source,objet,5,nmod,64553
9788,9788,1442,3224,,télégraphié,télégraphier,False,2474,un train,train,vehicule::train,vehicule,VEH,pour,destination,ud_ancetre_verbe,8,obj,64557
9788,9788,1442,3224,,télégraphié,télégraphier,False,2476,medicine - bow,medicine - bow,toponyme::medicine bow,toponyme,GPE,a,cadre,ud_ancetre_verbe,21,obl:arg,64569
9789,9789,1442,3224,,télégraphié,télégraphier,False,2473,omaha,omaha,toponyme::omaha,toponyme,GPE,de,source,ud_ancetre_verbe,5,nmod,64553
9789,9789,1442,3224,,télégraphié,télégraphier,False,2474,un train,train,vehicule::train,vehicule,VEH,pour,destination,ud_ancetre_verbe,8,obj,64557
9789,9789,1442,3224,,télégraphié,télégraphier,False,2476,medicine - bow,medicine - bow,toponyme::medicine bow,toponyme,GPE,a,cadre,ud_ancetre_verbe,21,obl:arg,64569
9790,9790,1442,3224,,demander,demander,False,2474,un train,train,vehicule::train,vehicule,VEH,pour,destination,objet,1,obj,64557
9791,9791,1442,3224,,arrive,arriver,True,2474,un train,train,vehicule::train,vehicule,VEH,pour,destination,phrase_proche_deplacement,11,obj,64557
9791,9791,1442,3224,,arrive,arriver,True,2476,medicine - bow,medicine - bow,toponyme::medicine bow,toponyme,GPE,a,destination,objet,2,obl:arg,64569
9794,9794,1444,3227,,gagner,gagner,True,2477,la station,station,lieu_precis::station,lieu_precis,FAC,a,destination,ud_ancetre_verbe,3,obj,64603
9795,9795,1444,3227,,gagner,gagner,True,2477,la station,station,lieu_precis::station,lieu_precis,FAC,a,destination,objet,3,obj,64603
9812,9812,1450,3234,,voyaient,voir,False,2480,la plaine couverte de neige,plaine couverte de neige,toponyme::plaine couverte de neige,toponyme,LOC,a;travers,cadre,ud_ancetre_verbe,10,obl:mod,64745
9813,9813,1450,3234,,obligés,obliger,False,2480,la plaine couverte de neige,plaine couverte de neige,toponyme::plaine couverte de neige,toponyme,LOC,a;travers,cadre,ud_ancetre_verbe,9,obl:mod,64745
9814,9814,1450,3234,,faire,faire,False,2480,la plaine couverte de neige,plaine couverte de neige,toponyme::plaine couverte de neige,toponyme,LOC,a;travers,cadre,ud_ancetre_verbe,7,obl:mod,64745
9815,9815,1450,3234,,faire,faire,False,2480,la plaine couverte de neige,plaine couverte de neige,toponyme::plaine couverte de neige,toponyme,LOC,a;travers,cadre,objet,7,obl:mod,64745
9816,9816,1450,3234,,couverte,couvrir,False,2480,la plaine couverte de neige,plaine couverte de neige,toponyme::plaine couverte de neige,toponyme,LOC,a;travers,cadre,objet,2,obl:mod,64745
9819,9819,1451,3236,,trouvait,trouver,False,2481,le wagon,wagon,vehicule::wagon,vehicule,VEH,vers,destination,ud_ancetre_verbe,18,obl:arg,64810
9819,9819,1451,3236,,trouvait,trouver,False,2482,du train,train,vehicule::train,vehicule,VEH,de,source,ud_ancetre_verbe,24,nmod,64817
9820,9820,1451,3236,,trouvait,trouver,False,2481,le wagon,wagon,vehicule::wagon,vehicule,VEH,vers,destination,ud_ancetre_verbe,18,obl:arg,64810
9820,9820,1451,3236,,trouvait,trouver,False,2482,du train,train,vehicule::train,vehicule,VEH,de,source,ud_ancetre_verbe,24,nmod,64817
9822,9822,1451,3236,,dirigeait,diriger,False,2481,le wagon,wagon,vehicule::wagon,vehicule,VEH,vers,destination,ud_ancetre_verbe,2,obl:arg,64810
9823,9823,1451,3236,,dirigeait,diriger,False,2481,le wagon,wagon,vehicule::wagon,vehicule,VEH,vers,destination,ud_ancetre_verbe,2,obl:arg,64810
9824,9824,1451,3236,,dirigeait,diriger,False,2481,le wagon,wagon,vehicule::wagon,vehicule,VEH,vers,destination,objet,2,obl:arg,64810
9827,9827,1451,3236,,dit,dire,False,2482,du train,train,vehicule::train,vehicule,VEH,de,source,sujet,15,nmod,64817
9840,9840,1459,3245,,crois,croire,False,2485,le train,train,vehicule::train,vehicule,VEH,en,cadre,ud_ancetre_verbe,4,obj,64909
