Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index,triptyque_id,personnages_sujet,personnages_objet,personnages_triptyque,lieux_sujet,lieux_objet,lieux_triptyque,types_lieux_triptyque,a_personnage_triptyque,a_lieu_triptyque,a_personnage_et_lieu_triptyque
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,par Phileas Fogg esq.,nsubj:pass,root,obl:agent,7.0,30,32.0,habiter,0,38,PER,0,0,1,4,[],['3'],['3'],['la maison'],[],['la maison'],['FAC'],True,True,True
"Son nom n' avait jamais retenti dans un collège d' avocats, ni au Temple, ni à Lincoln' s - inn, ni à Gray' s - inn.",Son nom,retenti,dans un collège d' avocats ni au Temple ni à Lincoln' s - inn ni à Gray' s - inn,nsubj,root,obl:mod,2.0,6,9.0,retentir,0,_,_,7,3,8,28,['3'],[],['3'],[],"['au temple', 'lincoln’ s - inn', 'gray’ s - inn']","['au temple', 'lincoln’ s - inn', 'gray’ s - inn']",['FAC'],True,True,True
"Jamais il ne plaida ni à la Cour du chancelier, ni au Banc de la Reine, ni à l' Échiquier, ni en Cour ecclésiastique.",il,plaida,ni à la Cour du chancelier ni au Banc de la Reine ni à l' Échiquier ni en Cour ecclésiastique,nsubj,root,obj,2.0,4,8.0,plaider,0,_,_,8,3,9,29,['3'],[],['3'],[],['la reine'],['la reine'],['FAC'],True,True,True
"Passepartout entendit la porte de la rue se fermer une première fois: c' était son nouveau maître qui sortait; puis une seconde fois: c' était son prédécesseur, James Forster, qui s' en allait à son tour.",Passepartout,entendit,la porte de la rue,nsubj,root,obj,1.0,2,4.0,entendre,0,_,_,74,28,75,265,['0'],[],['0'],[],['la rue'],['la rue'],['FAC'],True,True,True
Passepartout demeura seul dans la maison de Saville - row.,Passepartout,demeura,dans la maison de Saville - row,nsubj,root,obl:mod,1.0,2,6.0,demeurer,0,32,LOC,75,29,76,272,['0'],[],['0'],[],['saville - row'],['saville - row'],['FAC'],True,True,True
