"Verbe";"Macro-catégorie";"Catégorie de base";"Aspect lexical";"Manière";"Paramètre 1";"Paramètre 2";"Définition du TLFi";"Définition de Glawi et du Wiktionnaire";"Commentaire"
"se retapir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"";"Se tapir à nouveau.";""
"se retirer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se mettre à l'écart de, s'éloigner de, sortir de. / Reculer. Synon. battre en retraite. / Abandonner un lieu temporairement occupé. Synon. refluer.";"S’en aller ou s’éloigner d’un lieu. / Aller dans un lieu pour y établir sa retraite. / Se dit des eaux qui rentrent dans leur lit après avoir monté, après avoir débordé.";""
"se retourner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Faire un demi-tour. / Tourner la tête ou le haut du corps vers l'arrière. / Prendre une position opposée, en roulant sur soi-même. / Se mettre à l'envers. ";"Se tourner dans un autre sens.";""
"se retrancher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se retirer pour se protéger. / S'abriter.";"Se mettre dans une position de défense.";""
"se retrouver";"Mouvement inféré";"";"télique";"";"";"";"Être à nouveau (dans un lieu). / Ne pas avoir progressé. / Être à nouveau dans la position que l'on a quittée. /  Se trouver à nouveau en présence l'un de l'autre, les uns des autres, après une séparation. / Se manifester à nouveau, après avoir été éliminé, après avoir subi une éclipse. Synon. réapparaître, ressurgir.";"Prendre ou reprendre une position ou une situation.";""
"se réunir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"(Le suj. désigne des cours d'eau, des voies de communication) Confluer. / Se mettre ensemble en un lieu déterminé.";"";""
"se ripatonner 1";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"";"(Argot) Marcher, partir en marchant.";""
"se ripatonner 2";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"schéma moteur";"";"";"";""
"se risquer";"Mouvement inféré";"";"télique";"";"";"";"S'exposer en prenant conscience du risque encouru.";" S’aventurer ; se hasarder.";"S'avancer, se montrer (Le Petit Robert)"
"se river";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"";"";""
"se ruer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"puissance de la force";"vitesse";"Se jeter avec impétuosité, brusquerie sur, vers quelqu'un, quelque chose; se précipiter. / Se précipiter en grand nombre; aller en masse. / Se précipiter avec force; survenir de manière insurmontable, imparable.";"Se jeter impétueusement sur quelqu’un, sur quelque chose.";""
"se rusher";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"puissance de la force";"vitesse";"";"Se ruer.";""
"se sauver";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"S'échapper, quitter rapidement l'endroit dans lequel on se trouve.";"S’échapper. / Se dérober d’un péril, d’un danger, etc., par la fuite ou autrement. / Aller dans un lieu pour y chercher un asile, s’y réfugier. / Se retirer promptement.";""
"se sceller";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"";"";""
"se séparer 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"[Le suj. désigne un objet, un matériau] Se couper, se casser, se déchirer en deux, en plusieurs morceaux. / [Le suj. désigne un objet, une masse composé(e) d'éléments libres les uns par rapport aux autres] Se diviser en deux parties qui s'écartent l'une de l'autre. ";"";"sujet = entité plurielle"
"se séparer 2";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"Se séparer de qqc./de qqn; se séparer l'un de l'autre, les uns des autres. Mettre une certaine distance entre soi et quelque chose ou quelqu'un; cesser de constituer un tout avec quelque chose ou quelqu'un. / Empl. pronom. (le plus souvent réciproque) a) [Le suj. désigne des choses] S'écarter, se disjoindre l'un de l'autre, les uns des autres. b) [Le suj. désigne des pers.] Se quitter en prenant congé l'un de l'autre. Se quitter, s'éloigner l'un de l'autre pour une période plus ou moins longue.";"";"sujet = entité singulière"
"se serrer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"puissance de la force";"Se presser, se blottir. / Se rapprocher de quelqu'un/les uns des autres pour occuper le moins d'espace possible.";"";""
"se sortir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se dégager d'une situation difficile, guérir d'une maladie grave.";"Se tirer d’une situation.";""
"se souder";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Forme pronominale de ""souder"": Faire se réunir par adhérence des éléments matériels. / Fixer, réunir fortement. / Unir étroitement, intimement.";"(Anatomie, Botanique) Se rejoindre ou se trouver uni de manière à ne plus former qu’une seule pièce, en parlant de parties anatomiques d'un végétal, d’abord ou ordinairement distinctes.";""
"se soustraire";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Se mettre à l'abri de (quelque chose), échapper à (quelqu'un), en employant la fraude ou la ruse. Synon. se dérober à, refuser.";"S' échapper à, se préserver de, s'affranchir de.";""
"se superposer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Forme pronominale de ""superposer"": Placer, poser, disposer des choses l'une au-dessus de l'autre ou l'une sur l'autre. / (Géom.) Disposer une figure sur une autre pour en démontrer l'égalité. ";"Venir par dessus.";""
"se suspendre";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Synon. de ""se pendre"": Se tenir, s'accrocher à quelque chose, en laissant ses jambes suspendues en l'air sans toucher terre. / Être accroché à quelque chose. / Être en suspension dans les airs, planer. ";"";""
"se tailler";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Quitter un lieu rapidement, s'enfuir. Synon. pop. décamper, se barrer, se casser, se tirer.";"(Familier) Ficher le camp, se barrer, se tirer, partir.";""
"se tapir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"";"Se cacher en se tenant dans une posture raccourcie, ramassée, en occupant le moins de place possible. / Se cacher, se dissimuler en se blottissant.";"Se cacher en se tenant dans une posture ramassée.";""
"se téléporter";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"Voyager ou transporter un objet sans, physiquement, passer d'un point à l'autre.";""
"se télétransporter";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"Voyager ou transporter un objet sans, physiquement, passer d'un point à l'autre.";""
"se terrer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"(Le suj. désigne un animal) Loger, s'abriter, se cacher dans un terrier. / Se mettre à l'abri dans un lieu creusé dans le sol, en se couchant sur le sol. / Loger dans un lieu semblable à un terrier.";"Se cacher sous terre, en parlant de certains animaux.";""
"se tirer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Populaire, Familier) S'en aller, se sauver; partir.";"(Familier) Ficher le camp, se barrer, se tailler, partir.";""
"se tordre";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"(re)configuration de la cible";"";"S'entortiller, s'enrouler en torsade. Synon. se tortiller. / Se contorsionner, se crisper sous l'effet d'une douleur, d'une émotion. Synon. se tortiller. / Être déformé par flexion, torsion ou pression; se contourner. Tôle qui se tord. ";"";""
"se tortiller";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"(re)configuration de la cible";"";"Se tordre, se tourner de côté et d'autre, se trémousser. / Se tordre avec des mouvements répétés. / S'enrouler sur soi ou autour de quelque chose. / Adopter une forme enroulée; s'enrouler sur soi-même.";"Se tordre, se replier sur soi-même. / S'agiter en tous sens, comme par gêne.";""
