"Verbe";"Macro-catégorie";"Catégorie de base";"Aspect lexical";"Manière";"Paramètre 1";"Paramètre 2";"Définition du TLFi";"Définition de Glawi et du Wiktionnaire";"Commentaire"
"abandonner";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Quitter un lieu, ne plus l'occuper.";"Quitter, lâcher.";""
"aborder";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"(Le sujet est un navire, ou (par analogie avec le langage de la navigation) un véhicule, ou une personne se trouvant à bord d'un navire, sur un véhicule.) Achever un mouvement d'approche vers quelque chose ou quelqu'un. / Atteindre un lieu ou un mobile (avec parfois une idée d'hostilité).";"(Marine) Arriver au bord, prendre terre./ (Marine) Atteindre, en parlant d'une côte. / (Par extension) Accéder à, en parlant d'un lieu.";""
"aboutir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Toucher un bout, trouver un terme, avec ou sans nuance d'effort. / Se terminer dans; arriver; p. ext. converger.";"Toucher par un bout. / (Par extension) Arriver au bout.";""
"abriver";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"";"Aborder au rivage.";""
"accéder";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Arriver à un terme dont l'approche peut faire difficulté.";"Avoir accès (à un endroit, à quelque chose, à une situation).";""
"accoster";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"(Marine) Venir se placer le long et à côté de. / (S')approcher de quelqu'un ou de quelque chose. / (gén. fam. et péj.) S'approcher de quelqu'un avec l'intention de lui parler, de lier commerce avec lui";"(Marine) Se placer le long de et à côté de. / Aborder quelqu’un qu’on rencontre pour lui parler.";""
"accourir";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"schéma moteur";"Venir en courant à toute hâte vers un lieu (exerçant une attirance sur le sujet); survenir rapidement.";"Courir, venir promptement en un lieu où quelque chose ou quelqu’un nous attire.";""
"accrocher";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Heurter par un coup sec et comme avec un crochet, un objet, en particulier une voiture à côté de laquelle on passe.";"Heurter ou arrêter une voiture en passant trop près avec une autre.";""
"achopper";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Heurter contre quelque chose.";"Heurter un obstacle du pied, trébucher, faire un faux pas.";""
"alaquer";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"";"Amerrir sur un lac.";""
"aller";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Le verbe marque un déplacement depuis un point de l'espace jusqu'à un autre) Se mouvoir, se déplacer.";"Se déplacer jusqu'à un endroit.";""
"aller et venir";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"finalité";"Marque un mouvement de balancement, un mouvement alternatif (surtout quand le suj. est une chose). / (Quand le suj. est une pers.) Faire les cent pas.";"Circuler en tous sens, déambuler, divaguer. / Se déplacer dans un sens, puis aussitôt dans le sens opposé.";""
"amarsir";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"";"Se poser sur la surface de la planète Mars.";""
"ambler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"(Vx. En parlant d'un quadrupède et en partic. du cheval) Aller l'amble. / (P. ext.) Fuir.";"Marcher en parlant de certains quadrupèdes qui s'appuient sur les deux pattes latérales au lieu de s'appuyer sur leurs pattes opposées.";""
"ambuler (lit)";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"vitesse";"(Vx. littér.) Marcher selon le rythme de la promenade, sans hâte et souvent sans but.";"(Rare) Se promener. / (Rare) Nomadiser, se déplacer.";""
"amerrir";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"Se poser à la surface de la mer ou, p. ext., à la surface de l'eau (fleuve, lac, plan d'eau...).";"Reprendre contact avec la mer et, par extension, avec l’eau.";""
"apparaître";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se rendre visible à quelqu'un. / Arriver, se montrer, être vu souvent de manière inattendue. Synon. paraître, surgir, survenir.";"Devenir visible ; se manifester. / Se montrer inopinément ou soudainement ; avoir un aspect qui fasse naître la surprise ou qui excite l’intérêt.";""
"appareiller";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Quitter le port ou le lieu d'un mouillage.";"";""
"apponter";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"(Aéron. En parlant d'un avion) Se poser sur la piste d'un porte-avions.";"Se poser sur le pont d'un porte-aéronefs.";""
"approcher";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Aller plus près, en direction de.../ Venir près de quelque chose ou de quelqu'un, s'avancer auprès de quelqu'un ou de quelque chose. Synon. plus cour. s'approcher de.";"Avancer (vers), arriver à proximité (de). / (Absolument) Approcher du but.";""
"aquaplaner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"";"Glisser en raison d'un phénomène d'aquaplaning.";""
"arpenter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"(P. métaph., au fig. et en lang. cour. et fam.) Parcourir d'un pas large et décidé.";"(Figuré) (Familier) Parcourir un espace avec vitesse et à grands pas.";""
"arriver";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Aboutir à. / (Avec ou sans l'idée explicite d'une présence hum. au terme de l'itinéraire) Parvenir à l'étape fixée, parvenir à atteindre (qqn) après des difficultés, parvenir à destination. / (MAR., vieilli.) Toucher la rive, aborder; approcher de la rive ou du port.";"Parvenir à destination. / (Vieilli) Aborder, approcher de la rive.";""
"assolir";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"";"Se poser sur le sol d'un corps céleste quelconque.";""
"atteindre";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Arriver à un endroit en se déplaçant.";" Parvenir à un terme, à quelque chose dont on était plus ou moins éloigné, en parlant des choses aussi bien que des personnes.";""
"atterrer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(MAR.) Arriver de la haute mer dans le voisinage d'une terre, et la reconnaître. /  (Le suj. désigne un vaisseau, un bâtiment ou, p. méton., l'équipage) Venir à terre, aborder.";"(Marine) Arriver de la haute mer dans le voisinage d'une terre et la reconnaître.";""
"atterrir";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"Prendre contact avec le sol.";"(Aéronautique) Reprendre contact avec le sol. / (Marine) Arriver au voisinage de la terre. / (Familier) Parvenir dans un lieu déterminé.";""
"aubiner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"Aller l'aubin (MAN. Allure défectueuse d'un cheval entre l'amble ou le trot et le galop).";"(Équitation) Aller l’aubin.";""
"avancer";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Aller en avant.";"Aller, se porter en avant.";""
"bagotter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"Marcher en se dépêchant; courir.";"Courir en tous sens en se fatiguant. / (Par extension) Marcher, errer.";""
"balayer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"extension";"puissance de la force";"Parcourir une certaine étendue. / (Avec une idée de violence quand le suj. désigne la mer, le vent, la pluie, une arme, un projectile quelconque, etc.) / (Sans idée de violence quand le suj. désigne une source lumineuse (phare, rayons du soleil, de la lune) ou des sons) / Frôler.";"";""
"ballotter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Être agité par des secousses; remuer.";"Remuer et éprouver des secousses, faute d’être fixée comme elle devrait l’être, en parlant d'une chose.";""
"barbotter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"effort";"milieu";"Marcher péniblement dans l'eau sale ou dans la boue; patauger. / Remuer dans l'eau ou dans la boue. / S'ébattre dans l'eau, en général sans y entrer complètement faire trempette ou faire un brin de toilette.";"(S’)agiter dans l’eau ou la boue. / Marcher péniblement dans l’eau sale ou dans la boue, patauger. / Avancer lentement, avec difficulté, sur l'eau, avancer difficilement en plongeant par l'avant.";""
"bareiller";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"finalité";"";"Aller et venir sans arrêt, changer de direction. / Errer, rôder, marcher sans but.";""
"barger";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"milieu";"";"Naviguer sur une barge.";""
"basculer 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"[Implique une idée de va-et-vient]: Faire un mouvement de bascule, osciller.";"Faire un mouvement de bascule";""
"basculer 2";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"[Implique un mouvement de renversement] 1. De haut en bas : s'abattre, s'incliner; 2. Sur le côté, en avant, en arrière : se renverser, chavirer, culbuter ";"";""
"bastringuer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"(Pop.) Danser dans les bals populaires, être un habitué des bastringues.";"Danser dans les bastringues.";""
"battre";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"extension";"finalité";"(Avec une idée de déplacement) Parcourir.  Battre la contrée, la campagne, les champs, les bois, les buissons.Battre le pavé. / (Au fig., fam.) Arpenter la rue sans but. / (Le suj. est un inanimé) Heurter de coups répétés. ";"Produire des mouvements répétés.";""
"battre le pavé";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"";"";"Errer, sans but, dans les rues.";""
"béquiller";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"schéma moteur";"Marcher en s'aidant d'une béquille ou de béquilles; boiter, clopiner.";"(Familier) Marcher avec une béquille.";""
"bercer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"(MAN. En parlant d'un cheval) Marcher en se balançant latéralement.";"";""
"bifurquer 1";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"(re)configuration de la cible";"";"Diviser en deux, à la façon d'une fourche. / (En parlant d'une voie de communication) Se diviser en deux";"Se diviser en deux.";""
"bifurquer 2";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"[En parlant d'un véhicule ou d'une pers.] Abandonner une direction pour en suivre une autre ";"(Par extension) Changer de direction.";""
"biguiner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Danser la biguine.";""
"boitailler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"diminutif";"(Rare, avec une nuance péj.) Synon. de boitiller.";"Boiter un peu.";""
"boiter 1";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"Marcher en penchant son corps inégalement d'un côté ou de l'autre.";"Clocher, incliner à chaque pas son corps plus d’un côté que de l’autre, ou alternativement de l’un et de l’autre côté.";""
"boiter 2";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"";"[A propos d'un meuble qui ""boite""] (note des auteurs)"
"boitiller";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"diminutif";"Boiter légèrement, être atteint d'une légère claudication.";"Boiter légèrement.";""
"bomber";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"Aller très vite.";"";""
"bondir";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"schéma moteur";"puissance de la force";"Faire un ou plusieurs bonds, s'élever brusquement en l'air. / Se rendre en toute hâte en un lieu.";"Sauter, en parlant de certains animaux, et même des personnes. / Faire un ou plusieurs bonds.";""
"border";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Longer de son bord, ou longer le bord de quelque chose.";"(Marine) (Vieilli) côtoyer, naviguer le long des côtes ou d’un autre navire.";""
"bordiller";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"";"Approcher de près (ou de trop près, en débordant).";""
"bostonner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Exécuter la danse appelée boston.";"Danser le boston.";""
"bougeotter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"diminutif";"Bouger légèrement.";"Bouger un peu.";""
"bouger";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"Faire un mouvement (le plus souvent minime), remuer.";"Se déplacer d’un endroit vers un autre. / Mouvoir une partie du corps.";""
"bougiller";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"diminutif";"";"(Suisse) Bouger sans cesse.";""
"bouler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"(re)configuration de la cible";"";"Tomber en se ramassant sur soi-même comme une boule. / Rouler comme une boule.";"Enfler, en parlant du pain, former une boule. Se mettre en boule, se pelotonner. / Chuter en se ramassant sur soi-même, en parlant d’un animal, lièvre ou lapin, et par extension d’une personne.";""
"boulevarder";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"extension";"(Rare) Flâner sur les Grands Boulevards. ";"Flâner sur les boulevards.";""
"bouliner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"milieu";"Aller à la bouline, recevoir le vent de côté.";"Aller à la bouline, naviguer avec un vent de biais.";""
"bourlinguer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"effort";"";"(Marine) Avancer péniblement, se fatiguer à la manœuvre. / Voyager (non sans peine ou aventures), rouler sa bosse à travers le monde. Bourlinguer sur toutes les mers.";"(Marine) Faire des efforts pour avancer contre le vent et la mer. / (Figuré) Avancer péniblement. / (Par extension) Voyager.";""
"brasser";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"Agiter, remuer une substance ou un mélange à température élevée. [Nager à la brasse].";"";""
"brinquebaler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"(Emploi intrans.) S'agiter et faire entendre un son./ (Emploi intrans.) Se balancer de droite à gauche, remuer.";"(Se) balancer d’un côté à l’autre, ballotter, osciller, remuer dans un sens et dans l’autre, avancer en cahotant.";""
"brousser";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"milieu";"";"(Chasse) Marcher à travers bois sans suivre les chemins. / Sauter à cheval à travers les bois d'une haie, au risque de tomber s'ils ne se plient pas, au lieu de passer par dessus.";"Marcher à travers bois sans suivre les chemins.";""
"brûler";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"(P. réf. à la rapidité du feu, l'idée dominante est celle de vitesse ou d'entrain) Parcourir à grande vitesse.";"(Figuré) Ignorer un obstacle ou une étape pour atteindre un objectif.";""
"buter";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";" (Le suj. désigne un inanimé) S'appuyer contre un objet qui arrête ou qui limite un mouvement. /  (Le suj. désigne un animé) Se heurter à un obstacle.";"Achopper, heurter un corps que l’on trouve saillant sur son chemin.";""
"butiner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"";"(En parlant d'abeilles) Voler de fleur en fleur pour en amasser le pollen. ";"Se déplacer de fleur en fleur pour en recueillir le pollen.";""
"caboter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"milieu";"Faire le cabotage (navigation le long des côtes, de port en port).";"(Marine) Naviguer le long des côtes, de port en port, pour le transport des marchandises.";""
"cabrioler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"Faire des bonds, des cabrioles, des culbutes.";"Faire la cabriole ou des cabrioles.";""
"cagner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"effort";"(Région., rare) Boiter; p. ext. se déplacer avec peine, d'un rythme irrégulier.";"Boiter, se déplacer avec peine, d'un rythme irrégulier.";""
"caleter";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"S'en aller en courant, s'enfuir. Synon. déguerpir, filer.";"(Argot) Fuir, décamper.";""
"califourchonner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"(Rare et pittoresque) Monter à califourchon, chevaucher.";"(Vieilli) (Rare) Aller à califourchon.";""
"calter";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"S'en aller en courant, s'enfuir. Synon. déguerpir, filer.";"(Argot) Fuir, décamper.";""
"caneter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"Marcher comme une cane en se dandinant.";"Marcher comme une cane.";""
"canoter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"milieu";"S'adonner à la pratique du canotage ou se promener en canot.";"Diriger un canot de plaisance.";""
"caramboler";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Heurter quelqu'un ou quelque chose.";"Heurter.";""
"caranguer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"milieu";"";"Louvoyer à petites voiles pendant plusieurs jours sans pouvoir gagner au vent.";""
"caroler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Danser la carole.";"Danser la carole.";""
"cascader";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"(Le suj. désigne un cours d'eau) Tomber en cascade. / Tomber selon un mouvement de chute qui évoque celui d'une cascade.";"Tomber en cascade.";""
"cascateller";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"Tomber à la manière d'une cascatelle.";"Tomber en cascade.";""
"cavalcader";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"(re)configuration de la cible";"Chevaucher en groupe animé. / (Fam.) Courir en tous sens et de manière bruyante.";"(Vieilli) Chevaucher en groupe. / (Familier) Courir dans tous les sens.";""
"cavaler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"Courir précipitamment. / Partir promptement.";"(Familier) Courir en tous sens, ne jamais être immobile, ne pas avoir de repos.";""
"cerner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Entourer. / Entourer de tous côtés de manière à ôter toute communication, tout moyen de fuite ou de secours extérieur.";"Entourer, investir un lieu de manière à ôter toute communication, tout moyen de secours extérieur ou de fuite à ceux qui s’y trouvent.";""
"chahuter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"(Vieilli) Danser le chahut. / (P. ext.) Se dissiper, faire du chahut. / (Fam.) Culbuter, se renverser. ";"(Désuet) Danser le chahut.";""
"chalouper";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"Imiter en marchant ou en dansant le roulis d'une chaloupe. / (P. ext.) (Le suj. désigne un inanimé) Basculer. ";"Marcher ou danser en se balançant latéralement.";""
"chanceler 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"";"";""
"chanceler 2";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"";"";""
"charlestonner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Danser le charleston.";""
"chasser";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Être poussé, dériver dans une certaine direction. / (AUTOMOB.) Être mobile, glisser, patiner par manque d'adhérence au sol. / Se déplacer avec facilité. ";"Être poussé ou projeté en avant. / (Danse) Exécuter le pas de danse appelé chassé.";""
"chavirer 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"(MAR.) (Le suj. désigne une embarcation). Donner de la bande au point de prendre l'eau, de rester couché sur le flanc et parfois de se retourner complètement. / p. ext. se renverser, tomber. ";"Tourner sens dessus dessous. / (Marine) Renverser une embarcation et perdre définitivement son équilibre.";""
"chavirer 2";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"(P. anal.) Vaciller, chanceler; ";"";""
"cheminer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"milieu";"Faire du chemin, avancer, le plus souvent à pied, en particulier quand il s'agit d'une marche lente et régulière ou d'une progression longue et pénible. / (Le suj. désigne une chose concr. capable de mouvement) Se déplacer, avancer.";"Marcher, aller, faire du chemin pour arriver quelque part.";""
"chevaucher";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"";"Aller à cheval. / Aller à dos de chameau.";"Aller à cheval.";""
"chevrotiner";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"schéma moteur";"puissance de la force";"";"Bondir à la manière du chevrotin.";""
"choir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"(Littér.) Être entraîné vers le bas par son propre poids, selon la loi d'attraction, à la suite d'une rupture d'équilibre. Synon. usuel tomber.";"(Vieilli) Tomber.";""
"chuter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"(Pop.) Faire une chute; tomber.";"Tomber sous l’action de son propre poids, choir.";""
"cingler";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Faire voile vers.";"(Marine) Faire voile vers une direction, en parlant de la route sur laquelle on gouverne. / (Par extension) Parcourir l’espace (interplanétaire, intersidéral, intergalactique, etc.).";""
"circuler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"Se mouvoir de façon continue, circulairement, avec retour au point de départ. / Décrire des courbes, aller, se déployer suivant une ligne sinueuse. /  [Le suj. désigne le plus souvent un animé] Se déplacer (en utilisant les voies de communication); aller d'un lieu à un autre et/ou en divers sens, aller et venir, déambuler.";"Se mouvoir circulairement. / (Par extension) Se déplacer, en parlant de moyens de transport. / Aller çà et là ; aller et venir. / (Par extension) Se propager, se répandre.";""
"circumnaviguer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"milieu";"";"Naviguer autour, faire une circumnavigation.";""
"claudiquer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"Boiter.";"Boiter.";""
"clocher 1";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"(Le suj. désigne une pers.) Boiter. ";"Boiter.";""
"clocher 2";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"(Le suj. désigne une chose) Être bancal.";"Être bancal.";""
"clocheter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"diminutif";"Se déplacer en clochant.";"";""
"clopiner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"Marcher en boitillant.";"(Familier) Marcher avec peine et en boitant un peu.";""
"colimaçonner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"Avoir la forme d'une spirale.";"Monter ou descendre en tournant (un escalier en colimaçon, en particulier).";""
"confluer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Le suj. désigne un cours d'eau) Se rencontrer, se joindre, se réunir.";"Se dit de deux cours d'eau lorsqu'ils se fondent en un seul.";""
"contourner";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Suivre les contours de (une surface, une figure). / Faire le tour de (pour éviter, pour ne pas pénétrer dans). /  Éviter (un obstacle matériel) en suivant ses contours.";"(Par extension) Faire le tour de quelque chose.";""
"contre-virer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"";"Virer en sens opposé.";""
"contredanser";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Exécuter une contredanse.";"Danser la contredanse.";""
"converger";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(GÉOM.) (En parlant de lignes) Tendre vers un point commun. / Se diriger vers un point commun. ";"Se diriger dans la même direction, vers le même but, aller au même endroit.";""
"cotillonner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Danser, conduire le cotillon.";"Danser le cotillon.";""
"côtoyer";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"(Le suj. désigne un animé ou un inanimé (véhicule, voie de communication)) Aller, se déplacer le long de Synon. border, longer. / (Le suj. désigne un obj. concr. immobile) Se trouver, s'étendre le long de. ";"Aller tout le long de. / (Marine) Longer une côte, une rive, un bord.";""
"couler 1";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"(re)configuration de la cible";"entraînement";"(En réf. avec un liquide considéré dans son mouvement) Se déplacer (en pente) d'un mouvement continu et naturel. / Se déverser d'un mouvement continu; glisser, tomber en glissant.";"(Mécanique des fluides) Se déverser, aller d’un endroit à un autre, en parlant des liquides.";""
"couler 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"entraînement";"milieu";"S'engloutir, aller au fond de.";"Descendre insensiblement au fond de l'eau.";""
"coulisser";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"milieu";"Glisser le long d'une coulisse.";"Glisser sur des coulisses.";""
"couper";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(P. ext.) Passer à travers, traverser, franchir. / Prendre un chemin de traverse, un raccourci.";"Traverser.";""
"couper";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"Exécuter un coupé.";"";""
"courir";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"schéma moteur";"Se déplacer rapidement par un mouvement successif et accéléré des jambes ou des pattes prenant appui sur le sol.";"Se déplacer rapidement, avec impétuosité, par un mouvement alternatif des jambes ou des pattes prenant appui sur le sol, avec une phase de suspension en l’air, sans appui.";""
"crapahuter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"effort";"(Arg. milit.) Progresser, par reptation et sauts, en terrain difficile.";"(Argot militaire) Marcher en terrain de combat. / (Familier) Marcher à la découverte, parfois dans des conditions difficiles.";""
"crawler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"Nager le crawl.";"(Natation) Nager le crawl.";""
"croiser 1";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"(Le suj. désigne un animé ou un inanimé; correspond à croisement) Couper, passer au travers de.";"(Par extension) Traverser ; aller ; passer en travers de.";""
"croiser 2";"Mouvement inféré";"";"télique";"";"";"";"";"Faire le même trajet, mais en sens contraire, c’est-à-dire l’une allant, et l’autre venant, en parlant de deux personnes ou de deux choses.";""
"culbuter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"Effectuer un mouvement de renversement vers l'avant ou l'arrière ou faire un tour complet sur soi-même en faisant une culbute. / Tomber, faire une chute en arrière ou en avant, la tête la première.";"Faire une culbute, tomber de soi-même.";""
"cycler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"";"Pédaler.";"Se déplacer en bicyclette.";""
"danser";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Exécuter une suite de pas, de mouvements, suivant un rythme musical, selon les règles de la danse.";"Exécuter une danse. / (Figuré) Se mouvoir d’une façon qui évoque les mouvements d’une danse.";""
"déambuler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"extension";"Aller au hasard des rues, marcher sans but précis. Synon. errer, flâner.";"Se promener selon sa fantaisie, sans un but précis.";""
